,店名,住所,電話番号（0544）,営業時間（休憩時間含）,休日,受入人数,駐車場,焼き方:店,焼き方:客,料金
0,すぎ本（お宮横丁）,宮町4-23,24-8272,10:30-16:00,火曜日,お宮横丁,無,○,,300～600円
1,お食事処岩市,大宮町8-18,27-7153,11:00-20:00,水曜日,28＋座敷7間,2,○,,600-780円
2,ままん,大宮町5-17,29-6288,11:00-14:0018:00-22:00,水・木曜日,26,無,○,,600円
3,みっちゃん家,宝町11-24,27-5305,11:00-15:00(LO14:30),水曜日第１・３日曜日,8＋座敷2間,5,○,,350-600円
4,わびすけ,野中町806,23-8578,11:30-14:0014:30-22:00(LO21:00),水曜日,54,25,○,,620-980円
5,ろばた焼一心,東阿幸地245,26-1240,,,,,,,
6,おざわ酒店,ひばりが丘6,27-4706,11:00-20:00,火曜日,16,2,○,,450-600円大盛り+100円
7,安曇野,富士見ヶ丘628,23-4256,,,,,,,
8,むすび屋,宮町4-23,25-2144,月曜のみ11:00-15:0010:00-18:00,無休,お宮横丁,無,○,,500円
9,つかさ,上井出276-7,54-0033,10:00-18:00,無休,36,5,○,,650円
10,かいじ,上井出141-1,54-2500,9:00-20:00,無休,18,10,○,,400-600円
11,豊延,下条1611-1,58-5454,11:00-14:0017:00-22:00,水曜日,25,10,○,,350円大盛り+100円ﾄｯﾋﾟﾝｸﾞ+50円しぐれ+100円
12,とおり道,源道寺町1295,22-3039,,,,,,,
13,あおい,淀師1117-6,22-3344,10:00-21:00,火曜日,24座敷有り車いす可,10ﾏｲｸﾛﾊﾞｽ可,○,○,450-600円大盛り+100円もやし+50円
14,ペイジ,錦町8-25,23-8101,11:30-19:00,日曜日,20,5,○,,600円
15,ふじの食堂,万野腹新田2917,27-4305,11:00-14:0017:00-21:30,月曜日,ｶｳﾝﾀｰ6席＋24,8,○,,950円
16,富士山にこにこ長屋,山宮517-2,58-6485,10:30-20:00,火曜日,70,30,○,,500円
17,ふくじん,東町14-3,27-7162,11:00-14:0016:30-21:00,月曜日,座敷12＋15,2,○,,500-600円
18,ふくいや,浅間町8-5,26-4698,11:30-19:00,日曜日,15,5,○,,450-700円大盛り+100円ﾄｯﾋﾟﾝｸﾞ+50円
19,平石屋,上井出261-1,54-0068,9:00-16:00,不定,70,6,○,,630円
20,夢千代,東町11-5,27-6179,11:00-24:00,不定,30座敷有り,20,○,,380-600円
21,あご山,安居山832-5,25-6188,17:00－22:00,月曜日,13,5,○,,500円～
22,ふくろう,粟倉56-1,22-0296,11:00－23:00,第１･３月火,17,8,○,,350～800円
23,丸太,粟倉南町94-3,24-7607,17:00－24:00,日曜日,13,10,○,,350～500円
24,まかいの牧場内 ぼんぼり,内野馬飼野牧場内,090-2772-4897,8:00－18:00,なし,5000,500,○,,500円
25,おのちゃん,大岩388-3,24-0906,11:00－21:00,木曜日,6～10,8,○,,400～650円
26,泉花,大岩1565-1,26-1446,12:00－21:00,火曜日,17～20,3,○,,400～700円
27,祭りや,大中里1444-18,27-9712,11:00－14:00,月・火曜日,25,10,○,○,400～500円
28,お好み焼 いち川,大中里1733-2,24-5253,16:00－23:00,日曜日,10,5～6,○,,350～500円
29,パピ,上井出773-3,54-0339,11:00－14:00,水曜、,10,有,○,,450円～
30,天神橋,上井出825-6,54-0520,11:00－20:30,月曜日,18,20,○,○,400～600円
31,むめさん,上井出854-50,54-1161,10:30－20:00,祝日以外の火曜日,50,50,○,,350～1500円
32,お食事処 とし,上井出2253-3,54-0953,11:30－21:30,月曜日,100,30,○,,400～600円
33,五平茶屋,上井出3776-7,54-0514,11:00－18:30,月曜日,22,10,○,,450～550円
34,白扇,上条438-1,58-0171,平日・日9:30－15:30,水・木・金,8,有,○,,400円～
35,お好焼 まんぷく,上条1687-9,58-1267,11:30－14:00,月曜、,9～10,6,○,○,400～800円
36,あっぷる,北山503,58-7860,17:00－23:00,月曜日,28,20,○,,600円
37,清ふじ,北山1046-1,58-2436,11:00－22:00,月曜日,11,3,○,,400～450円
38,ふじた食堂,北山1539-1,58-1541,11:00－18:00,日祭・火曜,25,無,○,,350～550円
39,お好み焼 京,北山5214-7,58-7056,平日17:00－23:00,火曜日,約30,20,○,○,400～500円
40,いじわるまま,小泉237-7,24-1511,16:00－21:30,日・祝日,40～50,4～5,○,○,350～550円
41,居酒屋 きっこ,小泉720-7,26-6707,16:00－22:00,水曜日,12,10,○,,500円～
42,いつものところ,小泉1172-8,25-1515,10:00－19:00,水曜日,30,10,○,,300～400円
43,小料理屋 あい,小泉1801-7,23-1428,16:30－23:00,日・祭日,30,大駐車場有,○,,500円～
44,金太郎,小泉1930,22-6613,16:00－23:30,月曜日,120,20,○,,500円～
45,長谷川商店,小泉2061-15,27-7597,11:00－16:00,木曜日,8～10,3,○,,350円～
46,なごみや,小泉2862,24-1714,11:00－14:00,月曜日,16,5,○,○,400円～
47,よない,下条485-1,58-3988,11:00－18:00,月･金曜日,12,8,○,,300～600円
48,なみ,下条624,58-0973,11:00－14:00,木曜日,15～16,4,○,,500～700円
49,お好み焼きハウス 名月,杉田200-7,26-3915,11:00－14:00,第４日曜日,25,7～8,○,,300～500円
50,千貫くいどころ,杉田300-10,27-4440,11:00－21:00,月・火・水,20,20,○,,400～800円
51,焼そば・お好み うめづ,外神1273-5,22-1104,11:00－20:00,火曜日,20,10,○,,350～750円
52,鉄板焼 さいごう,外神東町241-8,58-0972,11:00－23:00,月曜日,90,30,○,○,400円～
53,鉄板焼 ちゃん バイパス店,中原町6,22-0111,11:00－23:00,不定休,50～60,20,○,○,570円～
54,テン＆テン,西小泉34-19,23-2950,9:00－19:00,木曜日,15,5,○,,300～650円
55,浦田商店,沼久保82-1,23-4527,10:30－20:00,月曜日,15,有,○,,350～500円
56,ぼて福,東阿幸地698,23-7002,11:00－26:00,無休,64,40,,○,600円～
57,おたふく,舟久保町16-14,23-3424,11:00－20:00,木曜日,15,10,○,,350～750円
58,ますみ,星山984-2,27-3001,11:00－20:00,火曜日,15,8,○,,350～400円
59,焼そば はうすぴ－す,舞々木町260,24-1033,11:00－15:00,月曜日,15,7,○,,500円～
60,喫茶 暫,前田町134,23-1543,12:00－24:00,日曜日,48,10～13,○,,500円～
61,お好み焼 内藤,万野原新田3257-4,24-2301,11:30－21:00,日曜日,15,8,○,,350～500円
62,ぱな（コヌマフード）,万野原新田3262-8,23-7144,10:00－20:00,水曜日,テークアウト,有,○,,350～400円
63,すずきお好み,万野原新田3281-17,24-3125,11:00－20:00,火曜日,4～5,2～3,○,,350～700円
64,ゆぐち,万野原新田4032-3,58-4092,11:00－13:00,月曜、,40,10,○,,400～850円
65,めぐみ,三園平587,27-4413,11:00－21:00,木曜日,20,9,○,,300円～
66,ふくや,宮原99-2,27-9011,10:00－22:00,月曜日,20,10,○,,400～650円
